id,latitude,longitude,year,month,day,minute,weekday
5977707ecb17471ac0565214,-23.5573433,-46.7286017,2017,7,25,23,1
5977707ecb17471ac0565216,-23.5573433,-46.7286017,2017,7,25,24,1
5977707ecb17471ac0565218,-23.5573017,-46.7285617,2017,7,25,24,1
5977707ecb17471ac056521a,-23.557275,-46.728665,2017,7,25,25,1
5977707ecb17471ac056521c,-23.557275,-46.728665,2017,7,25,25,1
5977707ecb17471ac056521e,-23.557275,-46.728665,2017,7,25,26,1
5977707ecb17471ac0565220,-23.5571833,-46.7286617,2017,7,25,26,1
5977707ecb17471ac0565227,-23.5565342,-46.727669,2017,7,25,27,1
5977707ecb17471ac0565224,-23.5565342,-46.727669,2017,7,25,27,1
5977707ecb17471ac0565229,-23.5572167,-46.72868,2017,7,25,28,1
5977707ecb17471ac056522c,-23.55721,-46.7286883,2017,7,25,28,1
5977707ecb17471ac056522e,-23.55721,-46.7286883,2017,7,25,29,1
5977707ecb17471ac0565230,-23.5573067,-46.7286483,2017,7,25,29,1
5977707ecb17471ac0565232,-23.5573067,-46.7286483,2017,7,25,30,1
5977707ecb17471ac0565234,-23.5573067,-46.7286483,2017,7,25,30,1
5977707ecb17471ac0565236,-23.5572833,-46.728745,2017,7,25,31,1
5977707ecb17471ac0565238,-23.55737,-46.7288217,2017,7,25,31,1
5977707ecb17471ac056523a,-23.557565,-46.7287067,2017,7,25,32,1
5977707ecb17471ac056523c,-23.5575683,-46.72868,2017,7,25,32,1
5977707ecb17471ac0565240,-23.5573883,-46.728715,2017,7,25,33,1
59777fe0cb17471ac0566a92,-23.5565618,-46.7301804,2017,7,25,25,1
59777fe0cb17471ac0566a8f,-23.5565618,-46.7301804,2017,7,25,25,1
59777fe0cb17471ac0566a94,-23.555555,-46.7304017,2017,7,25,25,1
59777fe0cb17471ac0566a97,-23.5553733,-46.7306933,2017,7,25,26,1
59777fe0cb17471ac0566a9a,-23.55526,-46.731115,2017,7,25,26,1
59777fe0cb17471ac0566a9c,-23.5549845,-46.7298217,2017,7,25,27,1
59777fe0cb17471ac0566a9f,-23.55517,-46.7314333,2017,7,25,27,1
59777fe0cb17471ac0566aa1,-23.5551409,-46.7318422,2017,7,25,27,1
59777fe0cb17471ac0566aa3,-23.5550883,-46.7315867,2017,7,25,27,1
59777fe0cb17471ac0566aa5,-23.5551883,-46.731705,2017,7,25,28,1
59777fe0cb17471ac0566aa7,-23.55507,-46.7318717,2017,7,25,28,1
59777fe0cb17471ac0566aa9,-23.5549383,-46.7320783,2017,7,25,29,1
59777fe0cb17471ac0566aab,-23.55471,-46.7322183,2017,7,25,29,1
59777fe0cb17471ac0566aad,-23.5546824,-46.7319178,2017,7,25,30,1
59777fe0cb17471ac0566aaf,-23.5546824,-46.7319178,2017,7,25,30,1
59777fe0cb17471ac0566ab1,-23.5545033,-46.7320083,2017,7,25,30,1
59777fe0cb17471ac0566ab4,-23.55477,-46.7319555,2017,7,25,31,1
59777fe0cb17471ac0566ab6,-23.5545083,-46.7320217,2017,7,25,31,1
59777fe0cb17471ac0566ab8,-23.5547765,-46.7319744,2017,7,25,31,1
59777fe0cb17471ac0566aba,-23.554785,-46.732135,2017,7,25,31,1
59777fe0cb17471ac0566abc,-23.5550817,-46.73204,2017,7,25,32,1
59777fe0cb17471ac0566ac0,-23.5550012,-46.730086,2017,7,25,33,1
59777fe0cb17471ac0566ac3,-23.5550535,-46.7298594,2017,7,25,34,1
59777fe0cb17471ac0566ac5,-23.55552,-46.7305517,2017,7,25,34,1
59777fe0cb17471ac0566ac7,-23.5556,-46.7304067,2017,7,25,35,1
59777fe0cb17471ac0566ac9,-23.5556,-46.7304067,2017,7,25,35,1
59777fe0cb17471ac0566acb,-23.5556,-46.7304067,2017,7,25,36,1
